,filename,original,blurred
0,0,"[""{'name': 'Human'}"", ""{'name': 'Person'}"", ""{'name': 'Animal'}"", ""{'name': 'Bird'}"", ""{'name': 'Mammal'}"", ""{'name': 'Horse'}"", ""{'name': 'Reptile'}"", ""{'name': 'Dinosaur'}""]","[""{'name': 'Animal'}"", ""{'name': 'Bird'}"", ""{'name': 'Human'}"", ""{'name': 'Person'}"", ""{'name': 'Pottery'}"", ""{'name': 'Leisure Activities'}"", ""{'name': 'Acrobatic'}""]"
1,2,"[""{'name': 'Jar'}"", ""{'name': 'Furniture'}"", ""{'name': 'Plastic'}"", ""{'name': 'Crystal'}""]","[""{'name': 'Medical Imaging X-Ray Film'}"", ""{'name': 'Ct Scan'}"", ""{'name': 'X-Ray'}""]"
2,4,"[""{'name': 'Clothing'}"", ""{'name': 'Helmet'}"", ""{'name': 'Apparel'}"", ""{'name': 'Medical Imaging X-Ray Film'}"", ""{'name': 'Ct Scan'}"", ""{'name': 'X-Ray'}""]","[""{'name': 'Medical Imaging X-Ray Film'}"", ""{'name': 'Ct Scan'}"", ""{'name': 'X-Ray'}"", ""{'name': 'Lamp'}"", ""{'name': 'Machine'}"", ""{'name': 'Smoke'}""]"
3,5,"[""{'name': 'Animal'}"", ""{'name': 'Reptile'}"", ""{'name': 'Dinosaur'}"", ""{'name': 'Skeleton'}""]","[""{'name': 'Clothing'}"", ""{'name': 'Apparel'}"", ""{'name': 'Crystal'}""]"
4,6,"[""{'name': 'Furniture'}"", ""{'name': 'Crib'}"", ""{'name': 'Chair'}"", ""{'name': 'Human'}"", ""{'name': 'Person'}"", ""{'name': 'Cradle'}"", ""{'name': 'People'}""]","[""{'name': 'Person'}"", ""{'name': 'Human'}"", ""{'name': 'Plant'}""]"
5,7,"[""{'name': 'Reptile'}"", ""{'name': 'Dinosaur'}"", ""{'name': 'Animal'}"", ""{'name': 'Alien'}"", ""{'name': 'Electronics'}"", ""{'name': 'Screen'}"", ""{'name': 'Gecko'}"", ""{'name': 'Lizard'}""]","[""{'name': 'Art'}"", ""{'name': 'Sculpture'}"", ""{'name': 'Statue'}"", ""{'name': 'Smoke'}"", ""{'name': 'X-Ray'}"", ""{'name': 'Medical Imaging X-Ray Film'}"", ""{'name': 'Ct Scan'}""]"
6,8,"[""{'name': 'Porcelain'}"", ""{'name': 'Art'}"", ""{'name': 'Pottery'}"", ""{'name': 'Figurine'}"", ""{'name': 'Sculpture'}"", ""{'name': 'Statue'}""]","[""{'name': 'Creme'}"", ""{'name': 'Dessert'}"", ""{'name': 'Food'}"", ""{'name': 'Cream'}"", ""{'name': 'Cake'}"", ""{'name': 'Icing'}"", ""{'name': 'Figurine'}"", ""{'name': 'Outdoors'}"", ""{'name': 'Snow'}"", ""{'name': 'Snowman'}"", ""{'name': 'Nature'}"", ""{'name': 'Winter'}"", ""{'name': 'Pottery'}"", ""{'name': 'Paper'}"", ""{'name': 'Whipped Cream'}""]"
7,9,"[""{'name': 'Lighting'}"", ""{'name': 'Light Fixture'}"", ""{'name': 'Steamer'}"", ""{'name': 'Light'}"", ""{'name': 'Ceiling Light'}""]","[""{'name': 'Lighting'}"", ""{'name': 'Light'}"", ""{'name': 'Tape'}"", ""{'name': 'Headlight'}"", ""{'name': 'Appliance'}"", ""{'name': 'Apparel'}"", ""{'name': 'Clothing'}""]"
8,10,"[""{'name': 'Nature'}"", ""{'name': 'Outdoors'}"", ""{'name': 'Hair Drier'}"", ""{'name': 'Appliance'}"", ""{'name': 'Dryer'}"", ""{'name': 'Blow Dryer'}"", ""{'name': 'Graphics'}"", ""{'name': 'Art'}"", ""{'name': 'Snow'}"", ""{'name': 'Electronics'}"", ""{'name': 'Light'}""]","[""{'name': 'Paper'}"", ""{'name': 'Towel'}"", ""{'name': 'Paper Towel'}"", ""{'name': 'Tissue'}"", ""{'name': 'Toilet Paper'}"", ""{'name': 'Text'}""]"
9,11,"[""{'name': 'Accessories'}"", ""{'name': 'Accessory'}""]","[""{'name': 'Machine'}"", ""{'name': 'Weaponry'}"", ""{'name': 'Blade'}"", ""{'name': 'Weapon'}""]"
